row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,product_id,category,sub_category,order_priority,product_name,sales,quantity,discount,profit,order_year,order_month,order_quarter,delivery_days
1,US-2020-103800,2020-01-03,2020-01-07,Standard Class,DP-13000,Darren Powers,Consumer,OFF-PA-10000174,Office Supplies,Paper,High,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.551199999999998,2020,1,1,4
2,US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,OFF-BI-10004094,Office Supplies,Binders,Low,GBC Standard Plastic Binding Systems Combs,3.539999999999999,2,0.8,-5.487,2020,1,1,4
3,US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,OFF-LA-10003223,Office Supplies,Labels,High,Avery 508,11.784,3,0.2,4.271699999999999,2020,1,1,4
4,US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,OFF-ST-10002743,Office Supplies,Storage,Low,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.77480000000001,2020,1,1,4
5,US-2020-141817,2020-01-05,2020-01-12,Standard Class,MB-18085,Mick Brown,Consumer,OFF-AR-10003478,Office Supplies,Art,High,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,2020,1,1,7
6,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,FUR-CH-10004063,Furniture,Chairs,Low,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.4077999999997,2020,1,1,4
7,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,OFF-AR-10001662,Office Supplies,Art,High,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796000000000005,2020,1,1,4
8,US-2020-106054,2020-01-06,2020-01-07,First Class,JO-15145,Jack O'Briant,Corporate,OFF-AR-10002399,Office Supplies,Art,Low,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.2398,2020,1,1,1
9,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,OFF-BI-10004632,Office Supplies,Binders,Low,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,2020,1,1,4
10,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,OFF-FA-10001883,Office Supplies,Fasteners,Low,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3111999999999995,2020,1,1,4
11,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,OFF-PA-10000955,Office Supplies,Paper,High,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,2020,1,1,4
12,US-2020-130813,2020-01-06,2020-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,OFF-PA-10002005,Office Supplies,Paper,High,Xerox 225,19.44,3,0.0,9.3312,2020,1,1,2
13,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,TEC-PH-10004539,Technology,Phones,Low,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.0,204.1092,2020,1,1,4
14,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,TEC-PH-10004977,Technology,Phones,High,GE 30524EE4,391.98,2,0.0,113.67419999999998,2020,1,1,4
15,US-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,FUR-FU-10004864,Furniture,Furnishings,High,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,3,0.6,-53.70959999999999,2020,1,1,5
16,US-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,OFF-BI-10003708,Office Supplies,Binders,Medium,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.429999999999998,7,0.8,-18.252500000000005,2020,1,1,5
17,US-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,OFF-AR-10004078,Office Supplies,Art,Medium,Newell 312,9.344,2,0.2,1.1679999999999997,2020,1,1,4
18,US-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,TEC-AC-10001266,Technology,Accessories,High,Memorex Micro Travel Drive 8 GB,31.200000000000003,3,0.2,9.749999999999996,2020,1,1,4
19,US-2020-149020,2020-01-10,2020-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,FUR-FU-10000965,Furniture,Furnishings,High,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954,2020,1,1,5
20,US-2020-149020,2020-01-10,2020-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,OFF-LA-10004272,Office Supplies,Labels,Medium,Avery 482,2.89,1,0.0,1.3583,2020,1,1,5
21,US-2020-130092,2020-01-11,2020-01-14,First Class,SV-20365,Seth Vernon,Consumer,FUR-FU-10000010,Furniture,Furnishings,Low,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.0813999999999995,2020,1,1,3
22,US-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,FUR-BO-10003034,Furniture,Bookcases,Low,"O'Sullivan Elevations Bookcase, Cherry Finish",333.99899999999997,3,0.15,3.929400000000008,2020,1,1,5
23,US-2020-109232,2020-01-13,2020-01-16,Second Class,ND-18370,Natalie DeCherney,Consumer,FUR-CH-10000422,Furniture,Chairs,Medium,Global Highback Leather Tilter in Burgundy,545.9399999999999,6,0.0,87.35040000000004,2020,1,1,3
24,US-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,OFF-AR-10003514,Office Supplies,Art,Low,4009 Highlighters by Sanford,19.9,5,0.0,6.566999999999998,2020,1,1,5
25,US-2020-118192,2020-01-13,2020-01-18,Standard Class,MM-17920,Michael Moore,Consumer,OFF-BI-10003476,Office Supplies,Binders,Medium,Avery Metallic Poly Binders,3.4380000000000006,2,0.7,-2.5212000000000003,2020,1,1,5
26,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,OFF-BI-10004187,Office Supplies,Binders,Low,3-ring staple pack,5.64,3,0.0,2.7071999999999994,2020,1,1,2
27,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,OFF-EN-10001532,Office Supplies,Envelopes,Low,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47,2020,1,1,2
28,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,OFF-EN-10001990,Office Supplies,Envelopes,Medium,Staple envelope,11.36,2,0.0,5.339199999999999,2020,1,1,2
29,US-2020-118192,2020-01-13,2020-01-18,Standard Class,MM-17920,Michael Moore,Consumer,OFF-PA-10002947,Office Supplies,Paper,Low,Xerox 1923,37.408,7,0.2,13.0928,2020,1,1,5
30,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,OFF-ST-10000025,Office Supplies,Storage,High,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.354799999999955,2020,1,1,2
31,US-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,OFF-ST-10000078,Office Supplies,Storage,Medium,Tennsco 6- and 18-Compartment Lockers,1325.8500000000001,5,0.0,238.6529999999999,2020,1,1,5
32,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,TEC-AC-10003174,Technology,Accessories,High,Plantronics S12 Corded Telephone Headset System,646.74,6,0.0,258.696,2020,1,1,2
33,US-2020-149524,2020-01-14,2020-01-15,First Class,BS-11590,Brendan Sweed,Corporate,FUR-BO-10003433,Furniture,Bookcases,High,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.28560000000001,2020,1,1,1
34,US-2020-103366,2020-01-15,2020-01-17,First Class,EH-13990,Erica Hackney,Consumer,TEC-AC-10003628,Technology,Accessories,Medium,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0.0,65.97800000000001,2020,1,1,2
35,US-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,FUR-FU-10001095,Furniture,Furnishings,High,DAX Black Cherry Wood-Tone Poster Frame,127.10400000000001,6,0.2,28.598399999999998,2020,1,1,2
36,US-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,OFF-BI-10001575,Office Supplies,Binders,High,GBC Linen Binding Covers,18.588000000000005,2,0.7,-13.6312,2020,1,1,2
